museum_id,name,url,location,city,latitude,longitude,image_url,image_alt,page
30097,Kolkja Museum of Old Believers,https://muuseumikaart.ee/en/museums/kolkja-museum-of-old-believers/,"Ranna 12, Kolkja",Kolkja,58.5487015,27.2214442,https://muuseumikaart.ee/wp-content/uploads/fly-images/30085/Kolkja-vanausuliste-muuseum-10-Ahto-Sooaru_Sibulatee-scaled-290x150-c.jpg,Ahto Sooaru,5
30268,Ruhnu Museum,https://muuseumikaart.ee/en/museums/ruhnu-museum/,Ruhnu island,Ruhnu,57.805148,23.2460512,https://muuseumikaart.ee/wp-content/uploads/fly-images/30242/4.-Korsi-taluou-290x150-c.jpg,4. Korsi taluõu,7
30897,Pokuland,https://muuseumikaart.ee/en/museums/pokuland/,"Padasoomäe, Urvaste, Võrumaa",Urvaste,57.91934670000001,26.5862263,https://muuseumikaart.ee/wp-content/uploads/fly-images/30891/Pokumaa1-290x150-c.jpg,Pokumaa1,7
31247,Audru Museum,https://muuseumikaart.ee/en/museums/audru-museum/,"Pärna allee 14, Audru, Pärnumaa",Audru,58.4081255,24.3575535,https://muuseumikaart.ee/wp-content/uploads/fly-images/31226/IMG-4054-scaled-290x150-c.jpg,IMG-4054,2
31271,Sagadi Forest Museum,https://muuseumikaart.ee/en/museums/sagadi-forest-museum/,"Sagadi, Lääne-Viru County",Sagadi,59.5423437,26.0462628,https://muuseumikaart.ee/wp-content/uploads/fly-images/31263/Tarmo-Haud-DJI_0696_1-scaled-290x150-c.jpg,Tarmo Haud,7
31335,The Art Gallery of the Narva Museum,https://muuseumikaart.ee/en/museums/the-art-gallery-of-the-narva-museum/,"Vestervalli 21, Narva",Narva,59.38250139999999,28.1964385,https://muuseumikaart.ee/wp-content/uploads/fly-images/31326/DSC07525-scaled-290x150-c.jpg,DSC07525,8
31475,Mahtra Peasantry Museum,https://muuseumikaart.ee/en/museums/mahtra-peasantry-museum/,"Muuseumi 1, Juuru, Raplamaa",Juuru,59.05622049999999,24.9633944,https://muuseumikaart.ee/wp-content/uploads/fly-images/31459/Pusinaitus4-scaled-290x150-c.jpg,Püsinäitus4,5
31485,"Rehbinder House(temporarily closed, reopening on 20 January 2026)",https://muuseumikaart.ee/en/museums/rehbinder-house/,"Tallinna 5, Rakvere",Sõmeru,59.3657725,26.4329199,https://muuseumikaart.ee/wp-content/uploads/fly-images/31499/detail-ampiirajastu-maketist-290x150-c.jpg,detail ampiirajastu maketist,7
31644,Virtual Time Travel Experience &#8220;VR Tallinn 1939/44&#8243;(Closed in January 2026),https://muuseumikaart.ee/en/museums/virtual-time-travel-experience-vr-tallinn-1939-44/,"In the tunnel, Vabaduse väljak 9, 10142 Tallinn",Tallinn,59.4336232,24.7440994,https://muuseumikaart.ee/wp-content/uploads/fly-images/31635/time-portal-VR-Tallinn-1939_44-attraction-history-visit-estonia-scaled-290x150-c.jpg,time-portal-VR Tallinn 1939_44-attraction-history-visit-estonia,11
31648,Virtual Time Travel Experience &#8220;VR Toila 1938&#8221;,https://muuseumikaart.ee/en/museums/virtual-time-travel-experience-vr-toila-1938/,"Oru park, Lossiplatsi 3, Pühajõe, 41716 Ida-Viru maakond",Pühajõe,59.4227374,27.5319934,https://muuseumikaart.ee/wp-content/uploads/fly-images/31597/Best-new-adventure-2021_Blueray-scaled-290x150-c.jpg,Best new adventure 2021_Blueray,12
31888,The House Museum of Johannes and Joosep Aavik,https://muuseumikaart.ee/en/museums/the-house-museum-of-johannes-and-joosep-aavik/,"Vallimaa 7, Kuressaare",Kuressaare,58.25769709999999,22.4842973,https://muuseumikaart.ee/wp-content/uploads/fly-images/31892/PXL_20240409_154416998-scaled-290x150-c.jpg,PXL_20240409_154416998,9
33288,Energy Discovery Center,https://muuseumikaart.ee/en/museums/energy-discovery-center-and-planetarium/,"Põhja pst 29, Tallinn",Tallinn,59.4440932,24.7494072,https://muuseumikaart.ee/wp-content/uploads/fly-images/33398/5-juuksed-pusti-3-scaled-290x150-c.jpg,5 juuksed püsti 3,3
33316,Nõmme Museum,https://muuseumikaart.ee/en/museums/nomme-museum/,"Jaama 18, Tallinn",Tallinn,59.38629189999999,24.6860849,https://muuseumikaart.ee/wp-content/uploads/fly-images/33311/Nomme-muuseum-esikaanele-scaled-290x150-c.jpg,Nõmme muuseum esikaanele,6
34174,Padise Monastery Visitor Centre,https://muuseumikaart.ee/en/museums/padise-monastery-visitor-centre/,"Padise, Harjumaa",Padise,59.2201228,24.1357627,https://muuseumikaart.ee/wp-content/uploads/fly-images/34118/@Ilme-Parik10-scaled-290x150-c.jpg,@Ilme Parik10,7
